numberOfData, addingTime, findingTime, deletingTime
2217, 1400, 2200, 900
2218, 1300, 1600, 1100
2219, 400, 1100, 1000
2220, 1000, 1800, 800
2221, 800, 1100, 1700
2222, 900, 1200, 1000
2223, 1100, 1000, 1200
2224, 500, 1100, 1700
2225, 1000, 900, 800
2226, 1100, 1600, 1000
2227, 500, 1500, 1900
2228, 1400, 1100, 1100
2229, 600, 900, 900
2230, 600, 900, 7000
2231, 400, 1400, 900
2232, 600, 8200, 1400
2233, 600, 2600, 900
2234, 1600, 1000, 900
2235, 1000, 1000, 900
2236, 800, 2000, 1000
2237, 400, 800, 900
2238, 1500, 1000, 900
2239, 800, 2200, 1000
2240, 800, 1000, 1800
2241, 1100, 900, 1000
2242, 2900, 1700, 1100
2243, 1200, 1100, 2600
2244, 700, 900, 1500
2245, 500, 900, 900
2246, 700, 900, 1900
2247, 900, 900, 1100
2248, 1200, 900, 1000
2249, 600, 900, 1800
2250, 700, 900, 1000
2251, 1400, 1000, 900
2252, 700, 1800, 800
2253, 700, 900, 1000
2254, 1000, 1200, 900
2255, 700, 2200, 1100
2256, 400, 1300, 800
2257, 1000, 900, 1300
2258, 600, 1600, 800
2259, 800, 1400, 1800
2260, 900, 1600, 900
2261, 2000, 1000, 900
2262, 900, 900, 2000
2263, 800, 1100, 1000
2264, 1200, 1000, 1000
2265, 700, 1000, 1900
2266, 1100, 1000, 1100
2267, 600, 1100, 900
2268, 600, 1400, 1800
2269, 800, 900, 1000
2270, 1000, 900, 1000
2271, 800, 1800, 900
2272, 500, 1000, 900
2273, 900, 1100, 900
2274, 400, 1700, 2800
2275, 800, 1900, 1300
2276, 900, 1400, 1000
2277, 1600, 2900, 1000
2278, 600, 1300, 2200
2279, 1300, 1100, 1000
2280, 1100, 1500, 900
2281, 1100, 1000, 1800
2282, 1200, 1000, 900
2283, 600, 1000, 800
2284, 1100, 900, 1700
2285, 500, 1100, 1300
2286, 1300, 1000, 1000
2287, 600, 900, 1900
2288, 800, 1200, 1100
2289, 600, 1200, 800
2290, 500, 1800, 900
2291, 400, 900, 800
2292, 700, 1400, 800
2293, 600, 1800, 900
2294, 1200, 1500, 900
2295, 700, 1200, 900
2296, 1300, 2800, 900
2297, 600, 1000, 900
2298, 700, 1000, 2100
2299, 1600, 1000, 900
2300, 500, 1100, 1700
2301, 500, 1100, 1400
2302, 1100, 1200, 1700
2303, 500, 1000, 2200
2304, 1400, 900, 9000
2305, 900, 1300, 1200
2306, 1100, 1100, 2000
2307, 700, 1100, 1000
2308, 600, 1000, 900
2309, 900, 900, 1900
2310, 800, 1100, 800
2311, 800, 900, 1200
2312, 1200, 2000, 900
2313, 1000, 1000, 1000
2314, 1300, 900, 1000
2315, 1100, 2400, 900
2316, 900, 2600, 1300
2317, 1700, 2300, 1200
2318, 900, 2200, 900
2319, 1200, 1400, 1900
2320, 1600, 1200, 900
2321, 1000, 900, 1100
2322, 400, 1200, 1600
2323, 500, 1100, 900
2324, 1300, 900, 1100
2325, 500, 1100, 2300
2326, 2000, 1000, 1200
2327, 1500, 1600, 1500
2328, 900, 900, 2200
2329, 1000, 1100, 1500
2330, 1100, 1100, 1500
2331, 300, 2200, 900
2332, 700, 3500, 2000
2333, 1100, 1000, 1500
2334, 900, 1000, 900
2335, 700, 900, 1700
2336, 900, 8100, 4000
2337, 800, 9000, 3300
2338, 800, 2300, 2800
2339, 700, 900, 800
2340, 1200, 2000, 1700
2341, 700, 1900, 900
2342, 1000, 1000, 900
2343, 1400, 900, 1400
2344, 600, 1800, 1300
2345, 800, 1000, 900
2346, 900, 900, 900
2347, 900, 1900, 800
2348, 1500, 2400, 2200
2349, 1000, 900, 1000
2350, 1100, 900, 800
2351, 1600, 900, 2000
2352, 800, 1000, 800
2353, 1100, 900, 900
2354, 1000, 900, 1900
2355, 1100, 900, 1000
2356, 1300, 800, 900
2357, 1400, 900, 1800
2358, 1000, 1300, 900
2359, 1300, 2200, 1400
2360, 1500, 2300, 800
2361, 1600, 1000, 1000
2362, 1800, 1500, 1000
2363, 700, 2100, 900
2364, 3700, 11800, 4200
2365, 2700, 6600, 1800
2366, 1600, 2400, 900
2367, 1500, 900, 1900
2368, 1700, 900, 800
2369, 1100, 1100, 900
2370, 800, 800, 1900
2371, 1400, 900, 900
2372, 2000, 900, 3500
2373, 900, 800, 1700
2374, 1200, 900, 900
2375, 1000, 800, 700
2376, 1900, 900, 2800
2377, 800, 900, 1000
2378, 700, 800, 700
2379, 400, 1900, 900
2380, 1000, 1700, 800
2381, 600, 900, 800
2382, 900, 2600, 900
2383, 1300, 800, 1200
2384, 1300, 1200, 800
2385, 1000, 1800, 900
2386, 400, 800, 900
2387, 900, 800, 800
2388, 1700, 900, 900
2389, 2200, 2000, 2400
2390, 1000, 900, 900
2391, 1000, 900, 800
2392, 1000, 800, 1800
2393, 500, 1000, 900
2394, 1500, 900, 800
2395, 700, 900, 1800
2396, 800, 1000, 800
2397, 800, 900, 1000
2398, 700, 800, 1800
2399, 600, 900, 900
2400, 1200, 800, 900
2401, 1100, 2000, 1000
2402, 600, 900, 900
2403, 900, 800, 900
2404, 1100, 2500, 800
2405, 1000, 800, 800
2406, 800, 900, 800
2407, 1800, 3200, 1100
2408, 800, 1000, 1700
2409, 1300, 900, 900
2410, 1600, 1000, 800
2411, 500, 900, 1700
2412, 1000, 1000, 900
2413, 1300, 800, 900
2414, 1400, 900, 2100
2415, 1000, 1000, 700
2416, 2000, 900, 1000
2417, 1600, 1100, 2600
2418, 1900, 1000, 1100
2419, 1000, 900, 900
2420, 500, 1800, 1100
2421, 1300, 900, 800
2422, 1100, 1000, 1000
2423, 800, 2000, 900
2424, 1200, 1000, 1200
2425, 1300, 1200, 900
2426, 1200, 1900, 1100
2427, 600, 900, 1800
2428, 600, 900, 1300
2429, 1000, 900, 1000
2430, 1200, 800, 1800
2431, 1900, 900, 900
2432, 800, 900, 800
2433, 1300, 1000, 1800
2434, 700, 900, 800
2435, 400, 900, 800
2436, 800, 800, 2200
2437, 400, 900, 800
2438, 900, 1000, 900
2439, 800, 2000, 900
2440, 600, 1000, 900
2441, 900, 1000, 1000
2442, 500, 1800, 1000
2443, 2100, 3800, 1600
2444, 800, 1200, 1200
2445, 1200, 2100, 800
2446, 1000, 900, 1900
2447, 1500, 1900, 900
2448, 500, 1400, 900
2449, 700, 900, 2000
2450, 1000, 900, 1000
2451, 800, 900, 900
2452, 1400, 1400, 2100
2453, 900, 1200, 1200
2454, 1100, 900, 800
2455, 400, 800, 1900
2456, 1200, 1200, 800
2457, 1300, 1500, 900
2458, 300, 1600, 1000
2459, 1600, 2700, 1000
2460, 1500, 900, 1000
2461, 700, 2200, 2000
2462, 1300, 1000, 800
2463, 700, 1100, 900
2464, 1500, 2000, 1000
2465, 1400, 1200, 2100
2466, 1500, 900, 800
2467, 1400, 1000, 900
2468, 800, 1100, 2000
2469, 1700, 2200, 1000
2470, 1300, 1300, 900
2471, 1000, 1000, 1800
2472, 700, 900, 800
2473, 1400, 1000, 800
2474, 1700, 900, 2100
2475, 1700, 1000, 900
2476, 800, 900, 900
2477, 1400, 1700, 700
2478, 700, 900, 800
2479, 1000, 1000, 900
2480, 900, 1700, 1000
2481, 1200, 1000, 900
2482, 1000, 1100, 1000
2483, 800, 1800, 1200
2484, 1600, 900, 900
2485, 1000, 900, 900
2486, 1200, 1000, 900
2487, 900, 1100, 1900
2488, 900, 1400, 900
2489, 600, 900, 800
2490, 200, 900, 1800
2491, 900, 1000, 900
2492, 1000, 1000, 800
2493, 700, 900, 1800
2494, 600, 900, 900
2495, 800, 800, 1000
2496, 1100, 1900, 1200
2497, 400, 1100, 1400
2498, 1100, 1100, 1300
2499, 700, 1800, 900
2500, 300, 800, 800
2501, 1100, 900, 900
2502, 500, 1700, 1100
2503, 1000, 1100, 800
2504, 300, 800, 900
2505, 900, 1700, 1100
2506, 1000, 1300, 1900
2507, 1000, 1000, 900
2508, 1700, 1200, 1000
2509, 700, 800, 1800
2510, 700, 1000, 900
2511, 1100, 1000, 900
2512, 600, 3000, 800
2513, 900, 1000, 800
2514, 1200, 1000, 900
2515, 900, 1800, 1000
2516, 1600, 1300, 1800
2517, 300, 1000, 900
2518, 300, 1000, 800
2519, 700, 900, 1900
2520, 900, 1100, 1000
2521, 900, 900, 1000
2522, 1000, 900, 2100
2523, 1200, 900, 1000
2524, 1200, 800, 700
2525, 1100, 1000, 1900
2526, 1100, 1200, 800
2527, 1200, 1800, 1000
2528, 800, 1900, 1000
2529, 800, 800, 800
2530, 300, 900, 800
2531, 1200, 1800, 900
2532, 500, 900, 900
2533, 800, 800, 700
2534, 2400, 3200, 900
2535, 700, 1000, 1000
2536, 1900, 1100, 900
2537, 2200, 1100, 1000
2538, 700, 900, 1800
2539, 1100, 800, 900
2540, 1100, 1100, 900
2541, 700, 900, 1800
2542, 900, 900, 900
2543, 700, 1400, 900
2544, 1000, 900, 2100
2545, 400, 1100, 1000
2546, 700, 800, 900
2547, 1000, 900, 1900
2548, 1900, 2000, 900
2549, 1200, 1200, 1000
2550, 1300, 2100, 2200
2551, 900, 1200, 800
2552, 1400, 1200, 900
2553, 300, 2000, 1100
2554, 1200, 1200, 1400
2555, 900, 1000, 900
2556, 900, 2100, 1200
2557, 1000, 900, 1900
2558, 1500, 1700, 1000
2559, 1100, 1300, 1000
2560, 700, 1600, 2500
2561, 800, 1100, 1000
2562, 1700, 2000, 3000
2563, 500, 1100, 2100
2564, 900, 900, 1500
2565, 1100, 1000, 800
2566, 700, 800, 1800
2567, 500, 800, 800
2568, 500, 1500, 800
2569, 1600, 2800, 1200
2570, 500, 900, 1000
2571, 300, 800, 900
2572, 900, 2000, 800
2573, 1100, 900, 900
2574, 1400, 1000, 900
2575, 700, 1800, 1000
2576, 1000, 1900, 1800
2577, 600, 1100, 800
2578, 500, 1000, 900
2579, 900, 1700, 2100
2580, 1100, 1500, 800
2581, 1200, 1500, 900
2582, 600, 900, 3700
2583, 800, 1100, 900
2584, 700, 800, 800
2585, 1300, 1000, 16400
2586, 400, 1000, 6800
2587, 700, 1500, 900
2588, 2500, 2500, 900
2589, 2500, 1000, 1700
2590, 400, 1600, 900
2591, 1200, 900, 1000
2592, 700, 900, 2100
2593, 1400, 1000, 800
2594, 900, 900, 900
2595, 1300, 1000, 1900
2596, 900, 1000, 1000
2597, 500, 1200, 800
2598, 400, 900, 1900
2599, 1600, 2200, 900
2600, 800, 1000, 900
2601, 800, 1800, 900
2602, 900, 3000, 1200
2603, 1300, 900, 900
2604, 1000, 2000, 900
2605, 1500, 1100, 1000
2606, 1000, 900, 900
2607, 2700, 1700, 1000
2608, 1100, 900, 900
2609, 1000, 900, 900
2610, 1000, 1900, 1000
2611, 600, 1300, 1800
2612, 700, 900, 900
2613, 700, 800, 800
2614, 1200, 800, 1900
2615, 1500, 900, 900
2616, 1000, 900, 900
2617, 400, 800, 1600
2618, 600, 800, 900
2619, 700, 800, 900
2620, 1200, 1800, 900
2621, 800, 1000, 800
2622, 1400, 1000, 900
2623, 600, 2100, 800
2624, 800, 900, 900
2625, 400, 800, 800
2626, 400, 3500, 1300
2627, 700, 800, 1000
2628, 1200, 1600, 900
2629, 700, 33000, 1300
2630, 900, 800, 1800
2631, 900, 800, 900
2632, 1100, 1000, 2400
2633, 900, 1000, 1600
2634, 600, 800, 700
2635, 900, 800, 900
2636, 800, 800, 1600
2637, 600, 900, 900
2638, 1000, 900, 1000
2639, 1600, 3400, 1800
2640, 500, 1200, 800
2641, 400, 800, 800
2642, 900, 1900, 800
2643, 800, 15500, 1100
2644, 1500, 1700, 1000
2645, 1300, 4200, 1100
2646, 1200, 800, 900
2647, 1000, 900, 1000
2648, 1000, 1800, 1000
2649, 700, 900, 800
2650, 700, 900, 900
2651, 2100, 3800, 1100
2652, 700, 900, 2000
2653, 1100, 1300, 800
2654, 600, 800, 800
2655, 800, 900, 1900
2656, 1400, 1000, 900
2657, 600, 1000, 900
2658, 600, 900, 2000
2659, 600, 800, 800
2660, 700, 900, 900
2661, 600, 1700, 900
2662, 500, 900, 900
2663, 1400, 900, 900
2664, 300, 1900, 900
2665, 1800, 900, 2700
2666, 1300, 1500, 900
2667, 800, 1900, 900
2668, 500, 800, 1300
2669, 800, 1300, 800
2670, 800, 2000, 800
2671, 900, 800, 1800
2672, 600, 800, 800
2673, 1300, 1400, 1000
2674, 1100, 1800, 2000
2675, 1100, 900, 800
2676, 1400, 1000, 1100
2677, 1300, 900, 2000
2678, 600, 1200, 900
2679, 700, 1000, 1000
2680, 1000, 1700, 1300
2681, 800, 1200, 1000
2682, 1100, 900, 900
2683, 900, 1700, 900
2684, 400, 800, 800
2685, 700, 1000, 1100
2686, 600, 1600, 800
2687, 500, 900, 800
2688, 1100, 900, 900
2689, 800, 1800, 800
2690, 1000, 800, 1700
2691, 1000, 3000, 900
2692, 1100, 800, 1000
2693, 800, 1800, 900
2694, 1300, 1000, 900
2695, 1700, 1400, 900
2696, 500, 1700, 800
2697, 300, 900, 800
2698, 700, 900, 900
2699, 800, 1700, 800
2700, 1200, 900, 1700
2701, 1000, 900, 1100
2702, 500, 800, 800
2703, 800, 900, 1700
2704, 1200, 1300, 900
2705, 1200, 1100, 900
2706, 400, 900, 1600
2707, 1200, 900, 800
2708, 1100, 800, 800
2709, 700, 900, 1900
2710, 1000, 900, 900
2711, 300, 800, 800
2712, 1100, 1800, 1000
2713, 1700, 1700, 1000
2714, 1400, 900, 900
2715, 600, 2000, 800
2716, 600, 900, 800
2717, 1300, 900, 1200
2718, 1000, 2000, 900
2719, 700, 800, 1900
2720, 1100, 1100, 900
2721, 1600, 1600, 900
2722, 700, 1800, 900
2723, 1000, 900, 900
2724, 600, 800, 800
2725, 900, 2100, 900
2726, 700, 800, 800
2727, 1200, 900, 1100
2728, 300, 1700, 800
2729, 600, 800, 800
2730, 1000, 900, 800
2731, 1100, 1600, 900
2732, 1000, 800, 1600
2733, 800, 900, 800
2734, 900, 1000, 900
2735, 900, 1000, 2100
2736, 1000, 900, 800
2737, 1100, 1400, 1000
2738, 600, 800, 1900
2739, 1300, 900, 800
2740, 700, 1000, 1000
2741, 600, 3800, 2300
2742, 1500, 1600, 900
2743, 1000, 800, 1000
2744, 600, 2700, 800
2745, 900, 900, 900
2746, 600, 900, 800
2747, 1000, 1800, 800
2748, 1300, 800, 900
2749, 800, 800, 800
2750, 1300, 2500, 800
2751, 1000, 1000, 1600
2752, 2200, 2300, 1900
2753, 800, 900, 800
2754, 700, 800, 1600
2755, 1300, 900, 1700
2756, 500, 800, 1500
2757, 700, 900, 1600
2758, 700, 900, 900
2759, 1400, 1000, 900
2760, 600, 1700, 900
2761, 1100, 900, 800
2762, 500, 800, 900
2763, 600, 1700, 900
2764, 900, 900, 1000
2765, 500, 900, 800
2766, 800, 1900, 900
2767, 300, 800, 900
2768, 900, 1200, 900
2769, 500, 1700, 1000
2770, 1000, 900, 1800
2771, 600, 1000, 800
2772, 500, 800, 800
2773, 800, 800, 2300
2774, 1000, 900, 900
2775, 900, 900, 900
2776, 500, 800, 1700
2777, 2000, 900, 900
2778, 500, 800, 900
2779, 1300, 1700, 800
2780, 700, 800, 900
2781, 1000, 800, 800
2782, 1100, 2100, 900
2783, 600, 900, 900
2784, 1000, 1000, 900
2785, 1200, 1800, 900
2786, 1400, 900, 900
2787, 1000, 900, 800
2788, 700, 1700, 900
2789, 1000, 900, 1600
2790, 900, 900, 900
2791, 800, 900, 900
2792, 400, 900, 1700
2793, 500, 900, 900
2794, 700, 800, 900
2795, 1000, 900, 1800
2796, 600, 900, 800
2797, 700, 800, 800
2798, 400, 900, 1800
2799, 600, 800, 800
2800, 600, 900, 900
2801, 1000, 1700, 900
2802, 400, 800, 900
2803, 500, 900, 900
2804, 700, 1700, 900
2805, 800, 900, 900
2806, 1500, 1000, 900
2807, 1000, 1800, 2100
2808, 600, 900, 900
2809, 800, 900, 800
2810, 1700, 1000, 1600
2811, 600, 900, 2000
2812, 2100, 1900, 1200
2813, 800, 900, 1800
2814, 1000, 800, 4500
2815, 1500, 1200, 1500
2816, 900, 900, 5500
2817, 800, 900, 1700
2818, 800, 900, 900
2819, 600, 1000, 900
2820, 1500, 1000, 1900
2821, 400, 900, 900
2822, 1100, 1000, 900
2823, 1000, 1600, 900
2824, 500, 900, 800
2825, 800, 1000, 900
2826, 500, 1700, 900
2827, 600, 900, 800
2828, 1100, 800, 900
2829, 1100, 1800, 800
2830, 1500, 900, 1900
2831, 800, 900, 800
2832, 900, 1200, 1000
2833, 700, 800, 1900
2834, 1100, 800, 800
2835, 300, 800, 900
2836, 600, 900, 2000
2837, 1100, 800, 900
2838, 900, 900, 900
2839, 800, 1300, 2100
2840, 500, 900, 2900
2841, 800, 1100, 1500
2842, 500, 1800, 1400
2843, 1500, 900, 800
2844, 500, 900, 800
2845, 800, 1800, 1200
2846, 1100, 900, 900
2847, 600, 800, 800
2848, 500, 1600, 800
2849, 900, 900, 1700
2850, 1000, 800, 900
2851, 500, 800, 900
2852, 500, 900, 1900
2853, 1400, 900, 900
2854, 1100, 900, 900
2855, 600, 900, 1800
2856, 600, 900, 900
2857, 600, 900, 800
2858, 1200, 800, 2000
2859, 700, 800, 900
2860, 1200, 800, 900
2861, 1000, 1800, 1000
2862, 600, 800, 900
2863, 1100, 1400, 1000
2864, 1100, 2000, 800
2865, 500, 800, 800
2866, 600, 800, 800
2867, 1000, 1800, 800
2868, 700, 800, 1700
2869, 800, 900, 900
2870, 1500, 900, 900
2871, 700, 900, 2200
2872, 600, 800, 700
2873, 1000, 900, 1000
2874, 500, 900, 1800
2875, 600, 800, 800
2876, 1000, 900, 900
2877, 900, 900, 1800
2878, 500, 900, 800
2879, 800, 900, 900
2880, 600, 1700, 800
2881, 400, 800, 800
2882, 900, 900, 900
2883, 500, 1900, 1000
2884, 900, 900, 1700
2885, 800, 900, 1000
2886, 500, 1700, 800
2887, 1100, 1000, 1700
2888, 600, 800, 900
2889, 500, 800, 800
2890, 800, 800, 1800
2891, 700, 800, 900
2892, 700, 1200, 900
2893, 500, 900, 1800
2894, 700, 900, 800
2895, 300, 800, 1300
2896, 700, 1100, 1900
2897, 1000, 1000, 900
2898, 700, 800, 700
2899, 800, 1800, 900
2900, 500, 800, 2800
2901, 700, 900, 1000
2902, 900, 900, 900
2903, 600, 800, 1700
2904, 800, 900, 900
2905, 1300, 2100, 1200
2906, 1000, 900, 1900
2907, 900, 900, 900
2908, 1400, 1600, 900
2909, 600, 1700, 1000
2910, 800, 2000, 900
2911, 600, 800, 900
2912, 1100, 1800, 1000
2913, 600, 800, 800
2914, 1400, 1000, 900
2915, 900, 1800, 900
2916, 800, 900, 900
2917, 700, 900, 800
2918, 1000, 1800, 900
2919, 1000, 900, 1800
2920, 400, 800, 800
2921, 500, 1000, 800
2922, 1200, 1600, 2000
2923, 600, 900, 900
2924, 1000, 900, 900
2925, 1100, 900, 1800
2926, 900, 1000, 900
2927, 1400, 1000, 900
2928, 700, 1600, 900
2929, 900, 800, 900
2930, 600, 800, 800
2931, 900, 1600, 800
2932, 800, 800, 900
2933, 700, 2000, 1800
2934, 1000, 1900, 900
2935, 300, 800, 800
2936, 1300, 1400, 1000
2937, 900, 1900, 1000
2938, 800, 900, 900
2939, 700, 900, 900
2940, 1800, 900, 900
2941, 800, 800, 1600
2942, 1000, 800, 900
2943, 1100, 800, 900
2944, 600, 1200, 1700
2945, 500, 900, 800
2946, 900, 900, 900
2947, 1600, 1000, 1900
2948, 700, 900, 900
2949, 1000, 900, 800
2950, 800, 2100, 800
2951, 900, 900, 900
2952, 1300, 900, 900
2953, 800, 1800, 1000
2954, 1200, 900, 1000
2955, 2700, 1500, 1000
2956, 900, 2000, 900
2957, 1100, 1000, 900
2958, 1000, 46300, 2500
2959, 800, 1900, 1000
2960, 1400, 1700, 1800
2961, 1200, 1000, 900
2962, 1000, 900, 900
2963, 900, 800, 1700
2964, 1100, 900, 1000
2965, 900, 800, 800
2966, 500, 900, 1800
2967, 700, 900, 900
2968, 1300, 1000, 1000
2969, 1000, 2500, 900
2970, 600, 800, 900
2971, 1000, 900, 1000
2972, 1100, 1700, 1100
2973, 700, 800, 1200
2974, 1300, 1000, 1200
2975, 500, 1800, 900
2976, 900, 900, 900
2977, 800, 900, 900
2978, 900, 1700, 900
2979, 700, 900, 1700
2980, 900, 800, 700
2981, 800, 1100, 800
2982, 1100, 900, 1900
2983, 700, 800, 800
2984, 800, 95200, 1100
2985, 1200, 1000, 2000
2986, 1400, 900, 800
2987, 1300, 1000, 1000
2988, 2200, 1400, 2200
2989, 1400, 800, 1000
2990, 1300, 1000, 1100
2991, 1700, 2200, 1100
2992, 900, 900, 900
2993, 1300, 2000, 1000
2994, 900, 1800, 800
2995, 800, 900, 900
2996, 1400, 1000, 1000
2997, 800, 2000, 900
2998, 1200, 900, 1900
2999, 700, 800, 1000
3000, 900, 1600, 800
3001, 400, 900, 1900
3002, 500, 800, 800
3003, 900, 1000, 900
3004, 1000, 900, 1800
3005, 600, 800, 2500
3006, 400, 1100, 800
3007, 900, 900, 4000
3008, 900, 1000, 1000
3009, 1100, 900, 1300
3010, 700, 1900, 1500
3011, 700, 800, 900
3012, 1300, 900, 900
3013, 700, 1700, 900
3014, 700, 900, 900
3015, 900, 1000, 900
3016, 400, 1800, 900
3017, 700, 900, 1800
3018, 1100, 1000, 900
3019, 900, 1200, 1000
3020, 900, 1100, 1900
3021, 1000, 900, 900
3022, 1000, 1100, 900
3023, 1100, 900, 1700
3024, 400, 1100, 800
3025, 1000, 1300, 900
3026, 500, 800, 1800
3027, 1000, 900, 1100
3028, 1200, 1300, 800
3029, 900, 1800, 1000
3030, 1200, 900, 900
3031, 700, 900, 900
3032, 800, 1700, 900
3033, 800, 900, 900
3034, 900, 1000, 800
3035, 800, 1900, 1000
3036, 1200, 800, 1700
3037, 1200, 900, 1000
3038, 700, 1000, 800
3039, 1100, 900, 1700
3040, 1000, 900, 900
3041, 1500, 900, 800
3042, 800, 1000, 2000
3043, 1500, 900, 900
3044, 500, 800, 800
3045, 500, 800, 1700
3046, 800, 1200, 900
3047, 800, 900, 900
3048, 300, 1700, 900
3049, 900, 900, 1000
3050, 500, 900, 800
3051, 700, 1700, 1000
3052, 1100, 1800, 1000
3053, 800, 900, 1000
3054, 900, 1700, 1100
3055, 500, 900, 800
3056, 600, 1000, 800
3057, 2900, 1000, 900
3058, 600, 800, 1700
3059, 800, 900, 900
3060, 1000, 800, 800
3061, 600, 900, 1600
3062, 900, 900, 1200
3063, 900, 1000, 900
3064, 800, 900, 1800
3065, 800, 900, 900
3066, 1000, 900, 1200
3067, 800, 800, 1700
3068, 1100, 800, 900
3069, 1100, 1300, 900
3070, 600, 1600, 900
3071, 1000, 900, 900
3072, 600, 800, 800
3073, 1000, 3400, 1000
3074, 900, 900, 900
3075, 1000, 900, 900
3076, 1500, 1800, 900
3077, 1200, 900, 2200
3078, 1100, 1000, 800
3079, 1400, 900, 700
3080, 800, 1800, 900
3081, 500, 800, 800
3082, 700, 900, 800
3083, 900, 1800, 900
3084, 800, 900, 900
3085, 1200, 900, 900
3086, 1000, 1700, 900
3087, 700, 800, 800
3088, 500, 1200, 800
3089, 800, 1800, 700
3090, 1000, 800, 1800
3091, 700, 800, 900
3092, 1300, 1500, 1000
3093, 700, 800, 1700
3094, 900, 900, 900
3095, 1000, 800, 800
3096, 900, 900, 1800
3097, 900, 900, 1500
3098, 600, 800, 1300
3099, 800, 1700, 900
3100, 1000, 800, 800
3101, 1100, 900, 1200
3102, 700, 1800, 800
3103, 800, 900, 800
3104, 600, 900, 900
3105, 700, 1900, 800
3106, 1000, 900, 900
3107, 1300, 900, 900
3108, 1100, 1800, 800
3109, 1000, 900, 1700
3110, 800, 900, 900
3111, 500, 1200, 800
3112, 1100, 900, 1900
3113, 600, 900, 1000
3114, 800, 800, 800
3115, 700, 800, 3600
3116, 500, 1000, 900
3117, 700, 900, 900
3118, 600, 1700, 900
3119, 1400, 900, 900
3120, 600, 1000, 800
3121, 900, 1900, 900
3122, 1100, 900, 800
3123, 800, 800, 800
3124, 1200, 1700, 900
3125, 800, 800, 1100
3126, 500, 900, 800
3127, 400, 1800, 800
3128, 500, 900, 1700
3129, 300, 800, 800
3130, 800, 800, 800
3131, 1300, 900, 1700
3132, 600, 900, 1000
3133, 500, 2400, 1300
3134, 500, 900, 1900
3135, 700, 900, 1000
3136, 1100, 900, 900
3137, 900, 1800, 800
3138, 1200, 900, 900
3139, 1000, 900, 900
3140, 500, 1700, 900
3141, 1100, 900, 900
3142, 1500, 800, 900
3143, 500, 1600, 900
3144, 800, 900, 1700
3145, 600, 900, 900
3146, 700, 2100, 800
3147, 600, 800, 1800
3148, 800, 900, 800
3149, 1400, 900, 800
3150, 400, 800, 2200
3151, 1600, 900, 1200
3152, 800, 1200, 800
3153, 1000, 900, 1700
3154, 800, 800, 800
3155, 600, 800, 900
3156, 700, 900, 1800
3157, 700, 800, 800
3158, 600, 900, 900
3159, 400, 1800, 1000
3160, 700, 900, 800
3161, 500, 900, 1000
3162, 700, 1700, 1000
3163, 700, 800, 800
3164, 900, 900, 900
3165, 500, 1700, 900
3166, 600, 900, 2100
3167, 500, 1300, 800
3168, 900, 1200, 800
3169, 400, 900, 2400
3170, 500, 900, 900
3171, 700, 900, 900
3172, 800, 800, 1800
3173, 700, 800, 900
3174, 1300, 1300, 1000
3175, 900, 900, 1900
3176, 500, 800, 800
3177, 600, 800, 800
3178, 400, 1800, 800
3179, 900, 800, 900
3180, 600, 900, 1200
3181, 1100, 3000, 900
3182, 800, 800, 800
3183, 800, 800, 800
3184, 1100, 1800, 1200
3185, 600, 800, 1900
3186, 900, 900, 900
3187, 1800, 900, 900
3188, 1300, 900, 1600
3189, 1100, 2500, 1200
3190, 700, 1100, 700
3191, 800, 900, 1700
3192, 800, 800, 800
3193, 1000, 900, 2500
3194, 700, 1000, 2000
3195, 1300, 900, 1000
3196, 700, 900, 800
3197, 1000, 900, 2000
3198, 600, 900, 900
3199, 1500, 1700, 1000
3200, 900, 1800, 1000
3201, 600, 900, 800
3202, 600, 900, 900
3203, 1300, 1900, 900
3204, 900, 800, 800
3205, 1400, 900, 900
3206, 800, 2100, 900
3207, 900, 1000, 1900
3208, 700, 900, 900
3209, 800, 800, 800
3210, 600, 900, 1800
3211, 600, 800, 800
3212, 700, 900, 800
3213, 500, 800, 1900
3214, 700, 800, 900
3215, 800, 900, 800
3216, 500, 1300, 1800
3217, 1200, 1000, 1000
3218, 700, 900, 800
3219, 2100, 2700, 1000
3220, 1000, 900, 900
3221, 700, 800, 800
3222, 1200, 1900, 1000
3223, 900, 800, 800
3224, 1300, 1100, 900
3225, 900, 1800, 900
3226, 1100, 900, 1800
3227, 1000, 900, 900
3228, 800, 1400, 900
3229, 800, 900, 2200
3230, 700, 800, 900
3231, 1300, 800, 800
3232, 1400, 1000, 1800
3233, 700, 1200, 900
3234, 700, 900, 900
3235, 700, 800, 1900
3236, 600, 800, 900
3237, 900, 1100, 900
3238, 600, 1700, 1000
3239, 800, 900, 1000
3240, 1100, 1000, 800
3241, 700, 1800, 900
3242, 900, 900, 900
3243, 700, 800, 800
3244, 900, 2000, 1000
3245, 800, 800, 1800
3246, 1100, 900, 900
3247, 500, 900, 800
3248, 1200, 1000, 1900
3249, 1000, 900, 1000
3250, 700, 1100, 900
3251, 700, 900, 2300
3252, 1000, 900, 800
3253, 700, 800, 900
3254, 600, 900, 1700
3255, 900, 900, 800
3256, 900, 1300, 1100
3257, 700, 1700, 1000
3258, 600, 800, 900
3259, 700, 900, 2100
3260, 900, 900, 900
3261, 900, 900, 1900
3262, 1500, 1100, 1000
3263, 700, 900, 900
3264, 1800, 900, 2100
3265, 700, 900, 1300
