numberOfData, addingTime, findingTime, deletingTime
228, 1100, 4100, 4200
229, 2500, 5700, 3600
230, 1100, 3700, 3300
231, 1900, 3700, 4500
232, 1300, 6300, 4500
233, 1300, 4300, 3700
234, 1000, 8000, 5100
235, 2600, 34300, 15900
236, 1500, 7600, 4800
237, 2200, 4000, 4500
238, 1100, 3400, 3200
239, 1300, 3600, 3200
240, 1700, 4400, 4300
241, 2300, 10300, 5700
242, 2300, 7400, 5400
243, 1800, 8900, 6100
244, 2500, 5500, 4800
245, 900, 3600, 2900
246, 1000, 6700, 3100
247, 1200, 4100, 5100
248, 1200, 2900, 4000
249, 2300, 12500, 6000
250, 1100, 41800, 44700
251, 5600, 17000, 12500
252, 2700, 10300, 9400
253, 3000, 13100, 16700
254, 3200, 13100, 28700
255, 2200, 12700, 6800
256, 1800, 9500, 174000
257, 2000, 71400, 39500
258, 1600, 10500, 4300
259, 1100, 4300, 3200
260, 1900, 2400, 2900
261, 1100, 2600, 2500
262, 1200, 7200, 3400
263, 1500, 2600, 2600
264, 1700, 2700, 2800
265, 2000, 2600, 2100
266, 900, 2200, 3400
267, 1500, 2300, 2600
268, 1100, 2300, 3400
269, 900, 3600, 2600
270, 700, 3300, 2200
271, 1300, 2500, 2800
272, 800, 5100, 2500
273, 1900, 2300, 2400
274, 1000, 4200, 2700
275, 800, 4300, 2500
276, 800, 1900, 1700
277, 2500, 2400, 2200
278, 1400, 3100, 4100
279, 4000, 14500, 4500
280, 2000, 3400, 3500
281, 2200, 3000, 4000
282, 600, 2500, 3600
283, 1100, 2200, 2400
284, 700, 4300, 3000
285, 2100, 2900, 4400
286, 900, 2500, 2300
287, 1700, 3000, 3200
288, 900, 2100, 3200
289, 1000, 2500, 1900
290, 800, 2200, 2300
291, 1700, 5800, 3300
292, 1900, 27700, 14700
293, 1800, 4500, 2600
294, 800, 3800, 34600
295, 1100, 3000, 2600
296, 1300, 5800, 3000
297, 900, 3200, 2900
298, 900, 2800, 2200
299, 2100, 2300, 2600
300, 5000, 47600, 11500
301, 11100, 55600, 20500
302, 17900, 23300, 10700
303, 2500, 19800, 11700
304, 13900, 8900, 11900
305, 4300, 55600, 16700
306, 2900, 32600, 28100
307, 5800, 3700, 7700
308, 700, 3400, 2900
309, 1000, 2000, 2300
310, 700, 2700, 2100
311, 1000, 1800, 2600
312, 1500, 1900, 2700
313, 800, 3400, 2800
314, 1100, 2000, 2000
315, 1300, 1800, 2000
316, 1100, 2900, 2200
317, 1000, 1800, 1800
318, 1100, 1800, 2100
319, 1300, 9100, 2900
320, 500, 5500, 5500
321, 1000, 1900, 2000
322, 1000, 1700, 1900
323, 1100, 1600, 3400
324, 1100, 2000, 3000
325, 900, 1800, 12500
326, 2000, 17400, 4200
327, 3200, 5800, 9500
328, 1700, 2300, 2200
329, 1900, 1700, 2600
330, 1600, 1500, 2400
331, 1200, 2300, 5300
332, 1200, 3700, 1900
333, 1100, 1600, 2000
334, 700, 1700, 2000
335, 800, 2400, 2300
336, 600, 2200, 1400
337, 1000, 1500, 1700
338, 900, 2400, 1800
339, 800, 2200, 1700
340, 800, 1600, 1700
341, 700, 2400, 1800
342, 1000, 1400, 1500
343, 900, 1400, 1500
344, 1000, 2400, 1600
345, 900, 1500, 2000
346, 500, 1500, 1700
